cpu,memory,timestamp
375,9420.8,15:52:30
380,9420.8,15:52:30
385,9420.8,15:52:31
333.3,9420.8,15:52:31
120,9420.8,15:52:31
165,9420.8,15:52:31
140,9420.8,15:52:31
155,9420.8,15:52:32
135,9420.8,15:52:32
180,9420.8,15:52:32
120,9420.8,15:52:32
120,9420.8,15:52:32
140,9420.8,15:52:33
125,9420.8,15:52:33
125,9420.8,15:52:33
120,9420.8,15:52:33
140,9420.8,15:52:33
147.6,9420.8,15:52:34
120,9420.8,15:52:34
125,9420.8,15:52:34
120,9420.8,15:52:34
110,9420.8,15:52:34
165,9420.8,15:52:35
120,9420.8,15:52:35
115,9420.8,15:52:35
120,9420.8,15:52:35
125,9420.8,15:52:35
120,9420.8,15:52:36
130,9420.8,15:52:36
135,9420.8,15:52:36
125,9420.8,15:52:36
125,9420.8,15:52:36
285.7,9420.8,15:52:37
375,9420.8,15:52:37
370,9420.8,15:52:37
325,9420.8,15:52:37
370,9420.8,15:52:37
350,9420.8,15:52:38
375,9420.8,15:52:38
345,9420.8,15:52:38
385,9420.8,15:52:38
380,9420.8,15:52:38
360,9420.8,15:52:39
360,9420.8,15:52:39
190,9420.8,15:52:39
185,9420.8,15:52:39
166.7,9420.8,15:52:39
165,9420.8,15:52:40
270,9420.8,15:52:40
385,9420.8,15:52:40
375,9420.8,15:52:40
360,9420.8,15:52:40
315,9420.8,15:52:41
320,9420.8,15:52:41
270,9420.8,15:52:41
315,9420.8,15:52:41
345,9420.8,15:52:41
285,9420.8,15:52:42
315,9420.8,15:52:42
340,9420.8,15:52:42
355,9420.8,15:52:42
315,9420.8,15:52:42
323.8,9420.8,15:52:43
380,9420.8,15:52:43
380,9420.8,15:52:43
385,9420.8,15:52:43
395,9420.8,15:52:43
395,9420.8,15:52:44
371.4,9420.8,15:52:44
395,9420.8,15:52:44
380,9420.8,15:52:44
365,9420.8,15:52:44
380,9420.8,15:52:45
375,9420.8,15:52:45
395,9420.8,15:52:45
390,9420.8,15:52:45
380,9420.8,15:52:45
375,9420.8,15:52:46
385,9420.8,15:52:46
365,9420.8,15:52:46
352.4,9420.8,15:52:46
375,9420.8,15:52:46
375,9420.8,15:52:47
370,9420.8,15:52:47
390,9420.8,15:52:47
380,9420.8,15:52:47
380,9420.8,15:52:47
385,9420.8,15:52:48
385,9420.8,15:52:48
380,9420.8,15:52:48
360,9420.8,15:52:48
390,9420.8,15:52:48
390,9420.8,15:52:49
380,9420.8,15:52:49
395,9420.8,15:52:49
380,9420.8,15:52:49
390,9420.8,15:52:49
361.9,9420.8,15:52:50
290,9420.8,15:52:50
360,9420.8,15:52:50
290,9420.8,15:52:50
340,9420.8,15:52:50
200,9420.8,15:52:51
150,9420.8,15:52:51
145,9420.8,15:52:51
215,9420.8,15:52:51
355,9420.8,15:52:51
357.1,9420.8,15:52:52
310,9420.8,15:52:52
225,9420.8,15:52:52
15,9420.8,15:52:52
55,9420.8,15:52:52
365,9420.8,15:52:53
395,9420.8,15:52:53
325,9420.8,15:52:53
370,9420.8,15:52:53
385,9420.8,15:52:53
371.4,9420.8,15:52:54
375,9420.8,15:52:54
240,9420.8,15:52:54
225,9420.8,15:52:54
300,9420.8,15:52:54
315,9420.8,15:52:55
380,9420.8,15:52:55
370,9420.8,15:52:55
180,9420.8,15:52:55
20,9420.8,15:52:55
260,9420.8,15:52:56
375,9420.8,15:52:56
390,9420.8,15:52:56
380,9420.8,15:52:56
360,9420.8,15:52:56
375,9420.8,15:52:57
361.9,9420.8,15:52:57
380,9420.8,15:52:57
375,9420.8,15:52:57
365,9420.8,15:52:57
375,9420.8,15:53:04
370,9420.8,15:53:04
295.2,9420.8,15:53:04
190,9420.8,15:53:04
355,9420.8,15:53:04
375,9420.8,15:53:05
370,9420.8,15:53:05
370,9420.8,15:53:05
380,9420.8,15:53:05
365,9420.8,15:53:05
385,9420.8,15:53:06
360,9420.8,15:53:06
365,9420.8,15:53:06
200,9420.8,15:53:06
314.3,9420.8,15:53:06
310,9420.8,15:53:07
380,9420.8,15:53:07
375,9420.8,15:53:07
345,9420.8,15:53:07
165,9420.8,15:53:07
140,9420.8,15:53:08
380,9420.8,15:53:08
385,9420.8,15:53:08
375,9420.8,15:53:08
375,9420.8,15:53:08
338.1,9420.8,15:53:09
380,9420.8,15:53:09
360,9420.8,15:53:09
380,9420.8,15:53:09
290,9420.8,15:53:09
40,9420.8,15:53:10
245,9420.8,15:53:10
355,9420.8,15:53:10
370,9420.8,15:53:10
210,9420.8,15:53:10
25,9420.8,15:53:11
55,9420.8,15:53:11
210,9420.8,15:53:11
365,9420.8,15:53:11
360,9420.8,15:53:11
250,9420.8,15:53:12
23.8,9420.8,15:53:12
40,9420.8,15:53:12
210,9420.8,15:53:12
45,9420.8,15:53:12
40,9420.8,15:53:13
205,9420.8,15:53:13
140,9420.8,15:53:13
40,9420.8,15:53:13
65,9420.8,15:53:13
325,9420.8,15:53:14
360,9420.8,15:53:14
370,9420.8,15:53:14
365,9420.8,15:53:14
355,9420.8,15:53:14
330,9420.8,15:53:15
195,9420.8,15:53:15
19,9420.8,15:53:15
255,9420.8,15:53:15
385,9420.8,15:53:15
305,9420.8,15:53:16
25,9420.8,15:53:16
20,9420.8,15:53:16
15,9420.8,15:53:16
15,9420.8,15:53:16
55,9420.8,15:53:17
365,9420.8,15:53:17
380,9420.8,15:53:17
375,9420.8,15:53:17
390,9420.8,15:53:17
366.7,9420.8,15:53:18
380,9420.8,15:53:18
290,9420.8,15:53:18
195,9420.8,15:53:18
155,9420.8,15:53:18
155,9420.8,15:53:19
110,9420.8,15:53:19
160,9420.8,15:53:19
130,9420.8,15:53:19
120,9420.8,15:53:19
120,9420.8,15:53:20
120,9420.8,15:53:20
115,9420.8,15:53:20
115,9420.8,15:53:20
109.5,9420.8,15:53:20
145,9420.8,15:53:21
135,9420.8,15:53:21
120,9420.8,15:53:21
115,9420.8,15:53:21
115,9420.8,15:53:21
110,9420.8,15:53:22
125,9420.8,15:53:22
120,9420.8,15:53:22
130,9420.8,15:53:22
125,9420.8,15:53:22
130,9420.8,15:53:23
125,9420.8,15:53:23
130,9420.8,15:53:23
370,9420.8,15:53:23
380,9420.8,15:53:23
361.9,9420.8,15:53:24
370,9420.8,15:53:24
370,9420.8,15:53:24
350,9420.8,15:53:24
365,9420.8,15:53:24
360,9420.8,15:53:25
360,9420.8,15:53:25
370,9420.8,15:53:25
360,9420.8,15:53:25
270,9420.8,15:53:25
205,9420.8,15:53:26
130,9420.8,15:53:26
255,9420.8,15:53:26
385,9420.8,15:53:26
380,9420.8,15:53:26
352.4,9420.8,15:53:27
315,9420.8,15:53:27
335,9420.8,15:53:27
300,9420.8,15:53:27
345,9420.8,15:53:27
340,9420.8,15:53:28
345,9420.8,15:53:28
315,9420.8,15:53:28
355,9420.8,15:53:28
350,9420.8,15:53:28
325,9420.8,15:53:29
